ticker,last_price,bid_price,ask_price,BUY_CITY-P,BUY_ANON,SELL_CITY-P,SELL_ANON,SELL_CITY-T1,BUY_CITY-T1,SELL_CITY-D,tick,timestamp
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,6,2026-02-02 23:26:02.455266
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,6,2026-02-02 23:26:02.455266
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,6,2026-02-02 23:26:02.455266
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,6,2026-02-02 23:26:02.455266
NG,2.21,2.19,2.23,800000.0,800000.0,0,0,0,0,0,7,2026-02-02 23:26:03.488373
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,7,2026-02-02 23:26:03.488373
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,7,2026-02-02 23:26:03.488373
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,7,2026-02-02 23:26:03.488373
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,7,2026-02-02 23:26:03.488373
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,7,2026-02-02 23:26:03.488373
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,7,2026-02-02 23:26:03.488373
NG,2.19,2.17,2.21,800000.0,800000.0,0,0,0,0,0,8,2026-02-02 23:26:04.522656
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,8,2026-02-02 23:26:04.522656
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,8,2026-02-02 23:26:04.522656
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,8,2026-02-02 23:26:04.522656
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,8,2026-02-02 23:26:04.522656
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,8,2026-02-02 23:26:04.522656
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,8,2026-02-02 23:26:04.522656
NG,2.2,2.18,2.22,800000.0,800000.0,0,0,0,0,0,9,2026-02-02 23:26:05.559988
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,9,2026-02-02 23:26:05.559988
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,9,2026-02-02 23:26:05.559988
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,9,2026-02-02 23:26:05.559988
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,9,2026-02-02 23:26:05.559988
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,9,2026-02-02 23:26:05.559988
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,9,2026-02-02 23:26:05.559988
NG,2.2,2.18,2.22,800000.0,800000.0,0,0,0,0,0,10,2026-02-02 23:26:06.597742
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,10,2026-02-02 23:26:06.597742
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,10,2026-02-02 23:26:06.597742
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,10,2026-02-02 23:26:06.597742
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,10,2026-02-02 23:26:06.597742
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,10,2026-02-02 23:26:06.597742
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,10,2026-02-02 23:26:06.597742
NG,2.2,2.18,2.22,800000.0,800000.0,0,0,0,0,0,11,2026-02-02 23:26:07.630520
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,11,2026-02-02 23:26:07.630520
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,11,2026-02-02 23:26:07.630520
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,11,2026-02-02 23:26:07.630520
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,11,2026-02-02 23:26:07.630520
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,11,2026-02-02 23:26:07.630520
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,11,2026-02-02 23:26:07.630520
NG,2.21,2.19,2.23,800000.0,800000.0,0,0,0,0,0,12,2026-02-02 23:26:08.663663
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,12,2026-02-02 23:26:08.663663
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,12,2026-02-02 23:26:08.663663
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,12,2026-02-02 23:26:08.663663
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,12,2026-02-02 23:26:08.663663
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,12,2026-02-02 23:26:08.663663
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,12,2026-02-02 23:26:08.663663
NG,2.22,2.2,2.24,800000.0,800000.0,0,0,0,0,0,13,2026-02-02 23:26:09.700838
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,13,2026-02-02 23:26:09.700838
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,13,2026-02-02 23:26:09.700838
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,13,2026-02-02 23:26:09.700838
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,13,2026-02-02 23:26:09.700838
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,13,2026-02-02 23:26:09.700838
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,13,2026-02-02 23:26:09.700838
NG,2.21,2.19,2.23,800000.0,800000.0,0,0,0,0,0,14,2026-02-02 23:26:10.293379
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,14,2026-02-02 23:26:10.293379
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,14,2026-02-02 23:26:10.293379
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,14,2026-02-02 23:26:10.293379
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,14,2026-02-02 23:26:10.293379
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,14,2026-02-02 23:26:10.293379
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,14,2026-02-02 23:26:10.293379
NG,2.22,2.2,2.24,800000.0,800000.0,0,0,0,0,0,15,2026-02-02 23:26:11.417893
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,15,2026-02-02 23:26:11.417893
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,15,2026-02-02 23:26:11.417893
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,15,2026-02-02 23:26:11.417893
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,15,2026-02-02 23:26:11.417893
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,15,2026-02-02 23:26:11.417893
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,15,2026-02-02 23:26:11.417893
NG,2.21,2.19,2.23,800000.0,800000.0,0,0,0,0,0,16,2026-02-02 23:26:12.449304
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,16,2026-02-02 23:26:12.449304
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,16,2026-02-02 23:26:12.449304
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,16,2026-02-02 23:26:12.449304
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,16,2026-02-02 23:26:12.449304
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,16,2026-02-02 23:26:12.449304
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,16,2026-02-02 23:26:12.449304
NG,2.21,2.19,2.23,800000.0,800000.0,0,0,0,0,0,17,2026-02-02 23:26:13.481820
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,17,2026-02-02 23:26:13.481820
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,17,2026-02-02 23:26:13.481820
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,17,2026-02-02 23:26:13.481820
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,17,2026-02-02 23:26:13.481820
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,17,2026-02-02 23:26:13.481820
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,17,2026-02-02 23:26:13.481820
NG,2.2,2.18,2.22,800000.0,800000.0,0,0,0,0,0,18,2026-02-02 23:26:14.515431
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,18,2026-02-02 23:26:14.515431
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,18,2026-02-02 23:26:14.515431
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,18,2026-02-02 23:26:14.515431
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,18,2026-02-02 23:26:14.515431
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,18,2026-02-02 23:26:14.515431
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,18,2026-02-02 23:26:14.515431
NG,2.2,2.18,2.22,800000.0,800000.0,0,0,0,0,0,19,2026-02-02 23:26:15.552434
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,19,2026-02-02 23:26:15.552434
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,19,2026-02-02 23:26:15.552434
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,19,2026-02-02 23:26:15.552434
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,19,2026-02-02 23:26:15.552434
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,19,2026-02-02 23:26:15.552434
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,19,2026-02-02 23:26:15.552434
NG,2.19,2.17,2.21,800000.0,800000.0,0,0,0,0,0,20,2026-02-02 23:26:16.584823
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,20,2026-02-02 23:26:16.584823
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,20,2026-02-02 23:26:16.584823
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,20,2026-02-02 23:26:16.584823
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,20,2026-02-02 23:26:16.584823
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,20,2026-02-02 23:26:16.584823
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,20,2026-02-02 23:26:16.584823
NG,2.19,2.17,2.21,800000.0,800000.0,0,0,0,0,0,21,2026-02-02 23:26:17.621827
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,21,2026-02-02 23:26:17.621827
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,21,2026-02-02 23:26:17.621827
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,21,2026-02-02 23:26:17.621827
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,21,2026-02-02 23:26:17.621827
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,21,2026-02-02 23:26:17.621827
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,21,2026-02-02 23:26:17.621827
NG,2.19,2.17,2.21,800000.0,800000.0,0,0,0,0,0,22,2026-02-02 23:26:18.658168
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,22,2026-02-02 23:26:18.658168
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,22,2026-02-02 23:26:18.658168
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,22,2026-02-02 23:26:18.658168
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,22,2026-02-02 23:26:18.658168
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,22,2026-02-02 23:26:18.658168
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,22,2026-02-02 23:26:18.658168
NG,2.19,2.17,2.21,800000.0,800000.0,0,0,0,0,0,23,2026-02-02 23:26:19.691946
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,23,2026-02-02 23:26:19.691946
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,23,2026-02-02 23:26:19.691946
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,23,2026-02-02 23:26:19.691946
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,23,2026-02-02 23:26:19.691946
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,23,2026-02-02 23:26:19.691946
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,23,2026-02-02 23:26:19.691946
NG,2.19,2.17,2.21,800000.0,800000.0,0,0,0,0,0,24,2026-02-02 23:26:20.729235
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,24,2026-02-02 23:26:20.729235
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,24,2026-02-02 23:26:20.729235
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,24,2026-02-02 23:26:20.729235
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,24,2026-02-02 23:26:20.729235
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,24,2026-02-02 23:26:20.729235
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,24,2026-02-02 23:26:20.729235
NG,2.18,2.16,2.2,800000.0,800000.0,0,0,0,0,0,25,2026-02-02 23:26:21.767263
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,25,2026-02-02 23:26:21.767263
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,25,2026-02-02 23:26:21.767263
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,25,2026-02-02 23:26:21.767263
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,25,2026-02-02 23:26:21.767263
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,25,2026-02-02 23:26:21.767263
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,25,2026-02-02 23:26:21.767263
NG,2.18,2.16,2.2,800000.0,800000.0,0,0,0,0,0,26,2026-02-02 23:26:22.863734
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,26,2026-02-02 23:26:22.863734
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,26,2026-02-02 23:26:22.863734
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,26,2026-02-02 23:26:22.863734
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,26,2026-02-02 23:26:22.863734
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,26,2026-02-02 23:26:22.863734
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,26,2026-02-02 23:26:22.863734
NG,2.17,2.15,2.19,800000.0,800000.0,0,0,0,0,0,27,2026-02-02 23:26:23.401886
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,27,2026-02-02 23:26:23.401886
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,27,2026-02-02 23:26:23.401886
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,27,2026-02-02 23:26:23.401886
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,27,2026-02-02 23:26:23.401886
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,27,2026-02-02 23:26:23.401886
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,27,2026-02-02 23:26:23.401886
NG,2.17,2.15,2.19,800000.0,800000.0,0,0,0,0,0,28,2026-02-02 23:26:24.501449
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,28,2026-02-02 23:26:24.501449
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,28,2026-02-02 23:26:24.501449
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,28,2026-02-02 23:26:24.501449
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,28,2026-02-02 23:26:24.501449
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,28,2026-02-02 23:26:24.501449
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,28,2026-02-02 23:26:24.501449
NG,2.16,2.14,2.18,800000.0,800000.0,0,0,0,0,0,29,2026-02-02 23:26:25.538667
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,29,2026-02-02 23:26:25.538667
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,29,2026-02-02 23:26:25.538667
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,29,2026-02-02 23:26:25.538667
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,29,2026-02-02 23:26:25.538667
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,29,2026-02-02 23:26:25.538667
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,29,2026-02-02 23:26:25.538667
NG,2.16,2.14,2.18,800000.0,800000.0,0,0,0,0,0,30,2026-02-02 23:26:26.576578
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,30,2026-02-02 23:26:26.576578
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,30,2026-02-02 23:26:26.576578
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,30,2026-02-02 23:26:26.576578
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,30,2026-02-02 23:26:26.576578
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,30,2026-02-02 23:26:26.576578
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,30,2026-02-02 23:26:26.576578
NG,2.17,2.15,2.19,800000.0,800000.0,0,0,0,0,0,31,2026-02-02 23:26:27.611470
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,31,2026-02-02 23:26:27.611470
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,31,2026-02-02 23:26:27.611470
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,31,2026-02-02 23:26:27.611470
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,31,2026-02-02 23:26:27.611470
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,31,2026-02-02 23:26:27.611470
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,31,2026-02-02 23:26:27.611470
NG,2.17,2.15,2.19,800000.0,800000.0,0,0,0,0,0,32,2026-02-02 23:26:28.640554
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,32,2026-02-02 23:26:28.640554
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,32,2026-02-02 23:26:28.640554
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,32,2026-02-02 23:26:28.640554
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,32,2026-02-02 23:26:28.640554
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,32,2026-02-02 23:26:28.640554
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,32,2026-02-02 23:26:28.640554
NG,2.16,2.14,2.18,800000.0,800000.0,0,0,0,0,0,33,2026-02-02 23:26:29.675784
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,33,2026-02-02 23:26:29.675784
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,33,2026-02-02 23:26:29.675784
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,33,2026-02-02 23:26:29.675784
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,33,2026-02-02 23:26:29.675784
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,33,2026-02-02 23:26:29.675784
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,33,2026-02-02 23:26:29.675784
NG,2.16,2.14,2.18,800000.0,800000.0,0,0,0,0,0,34,2026-02-02 23:26:30.712793
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,34,2026-02-02 23:26:30.712793
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,34,2026-02-02 23:26:30.712793
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,34,2026-02-02 23:26:30.712793
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,34,2026-02-02 23:26:30.712793
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,34,2026-02-02 23:26:30.712793
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,34,2026-02-02 23:26:30.712793
NG,2.16,2.14,2.18,800000.0,800000.0,0,0,0,0,0,35,2026-02-02 23:26:31.747365
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,35,2026-02-02 23:26:31.747365
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,35,2026-02-02 23:26:31.747365
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,35,2026-02-02 23:26:31.747365
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,35,2026-02-02 23:26:31.747365
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,35,2026-02-02 23:26:31.747365
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,35,2026-02-02 23:26:31.747365
NG,2.17,2.15,2.19,800000.0,800000.0,0,0,0,0,0,36,2026-02-02 23:26:32.779638
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,36,2026-02-02 23:26:32.779638
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,36,2026-02-02 23:26:32.779638
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,36,2026-02-02 23:26:32.779638
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,36,2026-02-02 23:26:32.779638
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,36,2026-02-02 23:26:32.779638
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,36,2026-02-02 23:26:32.779638
NG,2.17,2.15,2.19,800000.0,800000.0,0,0,0,0,0,37,2026-02-02 23:26:33.816431
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,37,2026-02-02 23:26:33.816431
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,37,2026-02-02 23:26:33.816431
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,37,2026-02-02 23:26:33.816431
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,37,2026-02-02 23:26:33.816431
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,37,2026-02-02 23:26:33.816431
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,37,2026-02-02 23:26:33.816431
NG,2.18,2.16,2.2,800000.0,800000.0,0,0,0,0,0,38,2026-02-02 23:26:34.851654
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,38,2026-02-02 23:26:34.851654
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,38,2026-02-02 23:26:34.851654
