ticker,last_price,bid_price,ask_price,BUY_CAMN-1,BUY_ANON,SELL_ANON,SELL_CAMN-1,BUY_UEBR-2,BUY_GIOT-3,SELL_WRSW-5,SELL_WRSW-3,BUY_LUIS-1,SELL_UOTB-2,SELL_DUBL-5,SELL_BRCH-3,BUY_LAVL-1,BUY_BRCH-3,SELL_DUBL-2,BUY_UEBR-1,BUY_WRSW-6,SELL_BABS-4,SELL_LETH-1,BUY_UOTB-1,BUY_UOTB-2,SELL_LUIS-1,SELL_WRSW-6,SELL_COLA-3,BUY_WRSW-5,SELL_CNCD-1,BUY_CNCD-1,BUY_COLA-1,BUY_WRSW-4,SELL_UOTB-3,SELL_HECM-3,SELL_NAIT-1,BUY_LETH-1,BUY_DUBL-2,BUY_WRSW-2,SELL_WRSW-1,BUY_CNCD-5,SELL_COLB-2,SELL_COLA-1,BUY_NAIT-1,BUY_WRSW-1,SELL_BRCH-1,BUY_BRCH-2,SELL_UOTB-1,BUY_COLA-3,SELL_LAVL-1,BUY_WRSW-3,BUY_BRCH-1,SELL_UEBR-1,SELL_GIOT-3,BUY_UOTB-3,BUY_DUBL-5,BUY_BABS-4,SELL_CNCD-5,BUY_COLB-2,SELL_WRSW-2,SELL_UEBR-2,SELL_WRSW-4,BUY_HECM-3,SELL_BRCH-2,tick,timestamp
ATMN,24.99,25.0,25.06,5600.0,,10000.0,1784900.0,9800.0,1100700.0,4750.0,10000.0,,710.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2026-02-06 11:03:12.321580
WNTR,25.01,24.99,25.01,,770.0,10000.0,1930500.0,,1941300.0,,10000.0,4750.0,770.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2026-02-06 11:03:12.321580
SPNG,24.83,24.88,25.09,587.0,7063.0,2500.0,2017400.0,8888.0,16800.0,10000.0,714700.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2026-02-06 11:03:13.418909
SMMR,24.96,24.95,24.96,740.0,,10000.0,2251500.0,8888.0,8400.0,10000.0,1358300.0,740.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2026-02-06 11:03:13.418909
ATMN,25.09,24.95,25.01,609.0,,10000.0,1963300.0,,5600.0,10000.0,1690600.0,,1400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2026-02-06 11:03:13.418909
WNTR,25.01,24.96,24.99,770.0,8888.0,10000.0,1561700.0,8888.0,1400.0,,1831300.0,770.0,4200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2026-02-06 11:03:13.418909
SPNG,24.83,24.95,24.96,3240.0,2081800.0,507.0,14735.0,679.0,15400.0,3240.0,454500.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-02-06 11:03:14.490224
SMMR,24.95,24.95,24.96,3240.0,1989700.0,630.0,14617.0,740.0,5600.0,,1612700.0,2864.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-02-06 11:03:14.490224
ATMN,25.27,25.27,25.29,,1289300.0,710.0,,,,,2187900.0,100.0,9800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-02-06 11:03:14.490224
WNTR,24.94,24.98,25.02,,1787700.0,651.0,5729.0,,1400.0,,1938500.0,5729.0,2800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-02-06 11:03:14.490224
SPNG,24.75,24.75,24.9,2398700.0,14835.0,679.0,4200.0,3240.0,1291000.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2026-02-06 11:03:15.555369
SMMR,24.97,24.98,24.99,1855000.0,4903.0,,,,2274500.0,7767.0,740.0,3240.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2026-02-06 11:03:15.555369
ATMN,25.25,25.1,25.22,1526500.0,4903.0,,,3240.0,1918700.0,4903.0,710.0,,7000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2026-02-06 11:03:15.555369
WNTR,24.9,24.9,24.99,2083300.0,5829.0,770.0,4200.0,,1500200.0,,770.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2026-02-06 11:03:15.555369
SPNG,25.1,25.1,25.15,1400.0,1793300.0,5321.0,2072.0,6000.0,1400.0,2272000.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2026-02-06 11:03:16.736642
SMMR,24.99,24.99,25.01,,1973600.0,5321.0,3240.0,,,2246000.0,740.0,740.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2026-02-06 11:03:16.736642
ATMN,24.94,24.88,24.92,,2347300.0,,,,1400.0,1636600.0,,,5321.0,6000.0,3240.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2026-02-06 11:03:16.736642
WNTR,24.95,24.92,24.95,,1889100.0,1225.0,,6000.0,4200.0,1512700.0,,770.0,,,3240.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2026-02-06 11:03:16.736642
SPNG,25.09,25.1,25.15,2800.0,1435000.0,622.0,5321.0,6000.0,2072.0,10000.0,7000.0,679.0,1492400.0,10000.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-02-06 11:03:17.347356
SMMR,25.0,24.99,25.0,,1848200.0,740.0,5321.0,6000.0,1620.0,10000.0,,740.0,2010600.0,10000.0,6000.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-02-06 11:03:17.347356
ATMN,24.92,24.88,24.92,,2214300.0,694.0,,,,,2800.0,,1442800.0,2500.0,6000.0,5321.0,3240.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-02-06 11:03:17.347356
WNTR,24.99,24.92,24.99,,1813200.0,,1225.0,6000.0,,10000.0,,,1805900.0,10000.0,,,3240.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-02-06 11:03:17.347356
SPNG,24.83,24.83,25.14,2176300.0,2072.0,5762.0,8400.0,679.0,1322100.0,10000.0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2026-02-06 11:03:18.433962
SMMR,25.02,24.99,25.01,1748200.0,1620.0,,,740.0,1919500.0,,11208.0,6000.0,740.0,10000.0,250.0,2072.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2026-02-06 11:03:18.433962
ATMN,24.89,24.89,24.91,1738100.0,2072.0,5421.0,4200.0,710.0,1324100.0,,5762.0,,694.0,10000.0,6000.0,1620.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2026-02-06 11:03:18.433962
WNTR,24.8,24.93,24.96,1864400.0,,5762.0,12600.0,,882200.0,,,,651.0,10000.0,,3240.0,1400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2026-02-06 11:03:18.433962
SPNG,24.99,24.88,24.99,2074600.0,1400.0,6000.0,1036.0,1389.0,12600.0,921800.0,679.0,10000.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2026-02-06 11:03:19.520725
SMMR,24.99,24.99,25.01,1996700.0,,6000.0,1620.0,5528.0,,1815900.0,740.0,10000.0,10000.0,740.0,2072.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2026-02-06 11:03:19.520725
ATMN,24.83,24.83,24.9,1997800.0,,,,5558.0,8400.0,1131800.0,710.0,,2500.0,694.0,1620.0,100.0,6000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2026-02-06 11:03:19.520725
WNTR,24.91,24.91,24.93,2058000.0,,,,100.0,4200.0,1230000.0,770.0,,10000.0,,3692.0,,6000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2026-02-06 11:03:19.520725
SPNG,25.11,24.89,24.96,6227.0,1918600.0,465.0,1400.0,1036.0,6227.0,9800.0,10000.0,1077400.0,2494.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2026-02-06 11:03:20.659579
SMMR,24.98,24.97,24.98,6227.0,2215100.0,,,1620.0,3887.0,1400.0,,1552400.0,3854.0,6000.0,740.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2026-02-06 11:03:20.659579
ATMN,24.95,24.89,24.92,6327.0,1648100.0,694.0,2800.0,,6227.0,2800.0,,1580500.0,1620.0,6000.0,710.0,6000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2026-02-06 11:03:20.659579
WNTR,24.8,24.8,24.89,,2163900.0,,,,6532.0,8400.0,,1304000.0,,,770.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2026-02-06 11:03:20.659579
SPNG,24.96,24.96,24.97,2141400.0,1036.0,557.0,6386.0,9800.0,1077400.0,2494.0,10000.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-02-06 11:03:21.801293
SMMR,25.05,24.95,25.05,2123300.0,1620.0,630.0,,1400.0,2159300.0,1036.0,,10000.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-02-06 11:03:21.801293
ATMN,24.83,24.83,24.9,1788000.0,2072.0,694.0,,,2150800.0,1620.0,,10000.0,1400.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-02-06 11:03:21.801293
WNTR,24.8,24.74,24.78,2184500.0,,,13504.0,9800.0,908400.0,2072.0,,,,770.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-02-06 11:03:21.801293
SPNG,24.81,24.94,24.96,1400.0,2271700.0,2800.0,679.0,1980200.0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2026-02-06 11:03:22.462637
SMMR,24.95,24.94,24.95,,2263800.0,2800.0,740.0,1715500.0,1620.0,10000.0,6000.0,10000.0,1036.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2026-02-06 11:03:22.462637
ATMN,25.06,24.87,24.92,4200.0,1519000.0,2800.0,623.0,1557700.0,2072.0,10000.0,6000.0,2500.0,1620.0,710.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2026-02-06 11:03:22.462637
WNTR,24.74,24.74,24.77,,2027700.0,14000.0,,449100.0,,10000.0,6000.0,10000.0,2072.0,549.0,13504.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2026-02-06 11:03:22.462637
SPNG,25.32,24.85,24.92,2800.0,500.0,10000.0,1921200.0,2800.0,6000.0,10000.0,1850600.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2026-02-06 11:03:23.512068
SMMR,25.04,24.97,25.02,,,10000.0,1756700.0,,,10000.0,2060700.0,11972.0,4438.0,437.0,1036.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2026-02-06 11:03:23.512068
ATMN,24.8,24.81,24.89,1400.0,,,2223700.0,8400.0,6000.0,2500.0,1143700.0,,,5949.0,1620.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2026-02-06 11:03:23.512068
WNTR,24.78,24.75,24.76,2800.0,,10000.0,1899600.0,5600.0,6000.0,10000.0,1234300.0,,,,2072.0,651.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2026-02-06 11:03:23.512068
SPNG,24.96,24.92,24.95,5600.0,1578000.0,6000.0,5229.0,10000.0,2129100.0,1400.0,612.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-02-06 11:03:24.557110
SMMR,25.06,24.97,25.03,1400.0,1494400.0,6000.0,5949.0,10000.0,2040100.0,1400.0,740.0,740.0,4438.0,1036.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-02-06 11:03:24.557110
ATMN,24.7,24.71,24.81,,1942300.0,,4580.0,10000.0,457000.0,12600.0,710.0,596.0,,2818.0,18929.0,6000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-02-06 11:03:24.557110
WNTR,24.76,24.8,24.91,5600.0,1099100.0,500.0,3921.0,10000.0,1860600.0,2800.0,,668.0,1910.0,,,6000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-02-06 11:03:24.557110
SPNG,24.99,24.99,25.0,1872.0,1312700.0,2866.0,5600.0,6000.0,654.0,5600.0,7918.0,679.0,1601500.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2026-02-06 11:03:25.602672
SMMR,24.93,24.93,25.02,,2360500.0,,,,740.0,2800.0,,740.0,1960900.0,1036.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2026-02-06 11:03:25.602672
ATMN,24.88,24.88,24.9,,2179000.0,,,,596.0,,,,2125600.0,1620.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2026-02-06 11:03:25.602672
WNTR,24.82,24.8,24.82,7918.0,1635300.0,1910.0,1400.0,6000.0,,2800.0,,,1867500.0,,6000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2026-02-06 11:03:25.602672
SPNG,24.99,24.99,25.0,1872.0,1681100.0,6000.0,2866.0,654.0,10000.0,7918.0,1400.0,679.0,10000.0,1811200.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2026-02-06 11:03:26.643400
SMMR,24.92,24.9,24.91,5524.0,2211500.0,,,630.0,,5524.0,4200.0,740.0,8641.0,1369400.0,2840.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2026-02-06 11:03:26.643400
ATMN,24.89,24.88,24.89,7503.0,1850400.0,6000.0,,,10000.0,,4200.0,620.0,10000.0,1353300.0,2430.0,6000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2026-02-06 11:03:26.643400
WNTR,24.83,24.81,24.82,13442.0,1542500.0,6000.0,1910.0,,10000.0,4599.0,2800.0,770.0,3890.0,1519000.0,,6000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2026-02-06 11:03:26.643400
SPNG,24.93,24.95,24.98,6000.0,2800.0,10000.0,1686800.0,654.0,2251.0,6000.0,2800.0,13442.0,679.0,1493600.0,10000.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2026-02-06 11:03:27.696305
SMMR,25.06,25.01,25.06,,,6359.0,1957400.0,740.0,9223.0,,,,,2040100.0,,2840.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2026-02-06 11:03:27.696305
ATMN,24.77,24.77,24.95,,,,2352100.0,,,,5600.0,,710.0,1455700.0,10000.0,1620.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2026-02-06 11:03:27.696305
