SMMR,24.62,24.37,24.62,1114900.0,,5000.0,2000.0,,,1848500.0,2000.0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,2026-02-06 10:39:28.363425
ATMN,24.11,24.12,24.17,983000.0,,,2000.0,,916.0,1089700.0,4000.0,916.0,710.0,6000.0,6000.0,2244.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,2026-02-06 10:39:28.363425
WNTR,26.03,25.95,26.0,1066000.0,250.0,10950.0,4000.0,,463.0,1340200.0,2000.0,463.0,770.0,6000.0,,5000.0,770.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,2026-02-06 10:39:28.363425
SPNG,24.44,24.44,24.9,1320500.0,975.0,537.0,2000.0,2000.0,1792000.0,975.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,2026-02-06 10:39:29.423103
SMMR,24.45,24.49,24.59,1352200.0,1928.0,695.0,2000.0,2000.0,1848500.0,1928.0,10000.0,8500.0,6000.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,2026-02-06 10:39:29.423103
ATMN,24.38,24.12,24.38,1213600.0,,609.0,2000.0,,1876400.0,,,,,1282.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,2026-02-06 10:39:29.423103
WNTR,25.88,26.06,26.13,886800.0,926.0,,,2000.0,1619000.0,926.0,,3400.0,,5000.0,6000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,2026-02-06 10:39:29.423103
SPNG,24.93,24.93,25.2,1435300.0,5000.0,6000.0,6000.0,629.0,487.0,2000.0,1848300.0,487.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,2026-02-06 10:39:30.491675
SMMR,24.45,24.51,24.58,1475100.0,3500.0,,,740.0,1928.0,4000.0,1570100.0,1928.0,4000.0,6000.0,6000.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,2026-02-06 10:39:30.491675
ATMN,24.31,24.33,24.44,1125800.0,,,6000.0,710.0,824.0,,2022700.0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,2026-02-06 10:39:30.491675
WNTR,25.95,25.88,25.9,886800.0,3400.0,,,,1852.0,2000.0,1337700.0,1852.0,2000.0,6000.0,5730.0,5000.0,651.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,2026-02-06 10:39:30.491675
SPNG,24.95,24.46,24.73,5000.0,6000.0,679.0,1320500.0,6000.0,637.0,1783100.0,2000.0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,2026-02-06 10:39:31.561151
SMMR,24.61,24.6,24.61,3500.0,6000.0,740.0,1116400.0,,673.0,1972600.0,,6000.0,10000.0,1928.0,1928.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,2026-02-06 10:39:31.561151
ATMN,24.44,24.34,24.44,4399.0,6000.0,710.0,1125800.0,6000.0,609.0,1978100.0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,2026-02-06 10:39:31.561151
WNTR,25.88,25.88,25.9,3400.0,,651.0,886800.0,,770.0,1155700.0,4000.0,2000.0,,981.0,981.0,6000.0,6000.0,5000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,2026-02-06 10:39:31.561151
SPNG,24.66,24.47,24.65,5000.0,1545200.0,6000.0,5000.0,1849900.0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,2026-02-06 10:39:32.639064
SMMR,24.46,24.49,24.6,6050.0,1261400.0,,5000.0,1677600.0,6000.0,10000.0,3756.0,2000.0,294.0,6000.0,3756.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,2026-02-06 10:39:32.639064
ATMN,24.33,24.35,24.43,3518.0,1125800.0,6000.0,,1991900.0,6000.0,,,,,,,710.0,2000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,2026-02-06 10:39:32.639064
WNTR,26.0,26.01,26.08,3400.0,994400.0,,5000.0,1770200.0,,,,4000.0,,6000.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,2026-02-06 10:39:32.639064
SPNG,24.66,24.59,24.66,1629200.0,3227.0,5000.0,679.0,2000.0,6000.0,975.0,643.0,2000.0,975.0,1658000.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,2026-02-06 10:39:33.205784
SMMR,24.46,24.5,24.56,1505300.0,,6050.0,695.0,,,939.0,294.0,,939.0,1800500.0,5750.0,5000.0,6000.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,2026-02-06 10:39:33.205784
ATMN,23.99,24.31,24.35,1013600.0,,6056.0,694.0,,,783.0,710.0,2000.0,783.0,1731100.0,6000.0,,,10000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,2026-02-06 10:39:33.205784
WNTR,26.01,26.01,26.02,994400.0,,3400.0,770.0,4000.0,,,770.0,,,1665100.0,6000.0,5000.0,6000.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,2026-02-06 10:39:33.205784
SPNG,24.95,24.96,25.21,8051.0,1471300.0,679.0,6000.0,2000.0,5000.0,1744600.0,554.0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,2026-02-06 10:39:34.276985
SMMR,24.62,24.62,24.74,9550.0,1407600.0,740.0,,2000.0,,1740200.0,,10000.0,6000.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,2026-02-06 10:39:34.276985
ATMN,24.23,24.2,24.23,,1053600.0,,6000.0,,,1528300.0,710.0,,6000.0,6000.0,4000.0,10000.0,1566.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,2026-02-06 10:39:34.276985
WNTR,25.9,25.88,25.9,3400.0,886800.0,770.0,,4000.0,5000.0,1555900.0,770.0,,,6000.0,,,1962.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,2026-02-06 10:39:34.276985
SPNG,24.73,24.44,24.72,1749400.0,2000.0,6000.0,862.0,447.0,1777900.0,6000.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,2026-02-06 10:39:35.331887
SMMR,24.73,24.63,24.73,1520500.0,2000.0,6000.0,9550.0,,1945800.0,,6000.0,5000.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,2026-02-06 10:39:35.331887
ATMN,24.08,24.08,24.33,1156600.0,,,,,1420800.0,,6000.0,8184.0,4000.0,810.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,2026-02-06 10:39:35.331887
WNTR,25.71,25.71,25.72,985600.0,,,5000.0,770.0,1455500.0,6000.0,,430.0,2000.0,,6000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,2026-02-06 10:39:35.331887
SPNG,24.73,24.67,24.72,1428800.0,618.0,4000.0,6000.0,862.0,447.0,1586000.0,6000.0,2000.0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,2026-02-06 10:39:36.390108
SMMR,24.73,24.65,24.73,1159300.0,740.0,2000.0,6000.0,9550.0,,2076500.0,,,1933.0,6000.0,1933.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,2026-02-06 10:39:36.390108
ATMN,24.19,24.19,24.23,1156600.0,,,6000.0,5000.0,710.0,971000.0,,4000.0,891.0,,1782.0,4199.0,11684.0,10000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,2026-02-06 10:39:36.390108
WNTR,26.02,25.92,26.02,1187000.0,651.0,,,5000.0,,1744300.0,,2000.0,,,,6000.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,2026-02-06 10:39:36.390108
SPNG,24.76,24.76,24.85,1327000.0,6000.0,4000.0,862.0,618.0,487.0,2000.0,487.0,1747800.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,2026-02-06 10:39:37.451969
SMMR,24.59,24.59,24.72,2067200.0,6000.0,2000.0,,,,,1872.0,1657400.0,5973.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,2026-02-06 10:39:37.451969
ATMN,24.44,24.2,24.21,1286600.0,6000.0,,5000.0,514.0,,,,2026500.0,,250.0,10000.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,2026-02-06 10:39:37.451969
WNTR,26.02,26.02,26.03,1288300.0,,,3048.0,770.0,,2000.0,,1656600.0,,6000.0,,6000.0,770.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,2026-02-06 10:39:37.451969
SPNG,24.85,24.89,25.23,679.0,1327000.0,6000.0,862.0,6000.0,4000.0,1916200.0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,2026-02-06 10:39:38.518508
SMMR,24.63,24.63,24.7,740.0,1626100.0,250.0,5000.0,6000.0,2000.0,1414600.0,1685.0,1685.0,9473.0,2000.0,713.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,2026-02-06 10:39:38.518508
ATMN,24.37,24.38,24.43,710.0,1408600.0,6000.0,7832.0,6000.0,,1933700.0,802.0,802.0,5000.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,2026-02-06 10:39:38.518508
WNTR,25.91,25.92,25.97,770.0,1187000.0,6000.0,5000.0,,,1467400.0,1668.0,1668.0,5000.0,2000.0,770.0,6000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,2026-02-06 10:39:38.518508
SPNG,24.54,24.65,24.99,5000.0,250.0,1706700.0,679.0,4000.0,8241.0,679.0,950.0,1373300.0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,2026-02-06 10:39:39.598448
SMMR,24.55,24.5,24.51,,,2060500.0,546.0,,12078.0,740.0,1517.0,1330600.0,1517.0,6000.0,2000.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,2026-02-06 10:39:39.598448
ATMN,24.37,24.39,24.43,7832.0,6000.0,1284800.0,710.0,,5000.0,603.0,1694.0,1858800.0,1694.0,,,6000.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,2026-02-06 10:39:39.598448
WNTR,25.91,25.92,25.97,3048.0,6000.0,1187000.0,770.0,,,770.0,1668.0,1472100.0,1668.0,,2000.0,,10000.0,10000.0,6000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,2026-02-06 10:39:39.598448
SPNG,24.66,24.64,24.66,500.0,1435800.0,6000.0,903.0,4000.0,679.0,6000.0,6000.0,8241.0,679.0,903.0,1168900.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,2026-02-06 10:39:40.223611
SMMR,24.57,24.57,24.63,,1899300.0,6000.0,758.0,,546.0,6000.0,6000.0,12078.0,,,1384400.0,2000.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,2026-02-06 10:39:40.223611
ATMN,24.4,24.39,24.4,250.0,1408600.0,,1694.0,,710.0,,,5000.0,603.0,1694.0,1853100.0,,7832.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,2026-02-06 10:39:40.223611
WNTR,25.91,25.91,25.98,250.0,1187000.0,,1668.0,,770.0,,,,770.0,1668.0,1701600.0,2000.0,3048.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,2026-02-06 10:39:40.223611
SPNG,25.23,24.69,24.73,1567200.0,6000.0,6000.0,4000.0,679.0,451.0,6000.0,5000.0,679.0,1666000.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,2026-02-06 10:39:41.313987
SMMR,24.66,24.66,24.7,1706200.0,6000.0,4983.0,,740.0,872.0,,12078.0,713.0,1394700.0,10000.0,872.0,2000.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,2026-02-06 10:39:41.313987
ATMN,23.92,23.92,24.37,1053600.0,,,,,,250.0,5000.0,704.0,1727600.0,,1694.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,2026-02-06 10:39:41.313987
WNTR,25.98,25.93,25.96,1076900.0,6000.0,,,,1668.0,,,,1585400.0,10000.0,1668.0,2000.0,10000.0,6000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,2026-02-06 10:39:41.313987
SPNG,25.14,24.77,24.92,1444600.0,6000.0,5000.0,679.0,6000.0,474.0,4000.0,6000.0,5125.0,587.0,1501000.0,474.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,2026-02-06 10:39:42.397682
SMMR,24.57,24.57,24.7,1822200.0,6000.0,,,6000.0,872.0,,,12078.0,713.0,1428500.0,872.0,2000.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,2026-02-06 10:39:42.397682
ATMN,24.1,23.92,23.93,1053600.0,,,,,,,6000.0,,710.0,1858200.0,1948.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,2026-02-06 10:39:42.397682
WNTR,25.75,25.74,25.75,1076900.0,,,,,1668.0,,,,651.0,1451700.0,1668.0,2000.0,770.0,6000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,2026-02-06 10:39:42.397682
SPNG,24.77,24.77,24.78,1657500.0,6000.0,6000.0,474.0,4000.0,6000.0,5291.0,474.0,1388900.0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,2026-02-06 10:39:43.452891
SMMR,24.72,24.57,24.72,1822200.0,6000.0,6000.0,1744.0,,,5236.0,,1816400.0,2000.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,2026-02-06 10:39:43.452891
ATMN,23.93,24.08,24.2,1255300.0,,,,,250.0,5000.0,,1863000.0,,255.0,6000.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,2026-02-06 10:39:43.452891
WNTR,25.75,25.72,25.74,1482000.0,,,1668.0,,6000.0,,1668.0,1372500.0,2000.0,,6000.0,770.0,770.0,770.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,2026-02-06 10:39:43.452891
SPNG,24.69,24.69,24.99,1790500.0,6000.0,972.0,4000.0,5000.0,972.0,1710000.0,587.0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,2026-02-06 10:39:44.513288
SMMR,24.54,24.53,24.54,2032700.0,6000.0,,,7915.0,1919.0,1430100.0,740.0,630.0,2000.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,2026-02-06 10:39:44.513288
ATMN,24.22,24.24,24.45,1372700.0,500.0,1856.0,,,1856.0,2091900.0,,627.0,,6000.0,5255.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,2026-02-06 10:39:44.513288
WNTR,25.75,25.77,25.83,1694500.0,,834.0,,,834.0,1452600.0,770.0,770.0,2000.0,,,250.0,6000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,2026-02-06 10:39:44.513288
SPNG,24.92,24.88,24.92,6000.0,679.0,5000.0,10000.0,1340300.0,6000.0,972.0,4000.0,6000.0,679.0,7475.0,1306900.0,972.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,2026-02-06 10:39:45.588696
SMMR,24.72,24.53,24.57,,630.0,,,1961200.0,6000.0,1727.0,,,740.0,2915.0,1620000.0,,2000.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,2026-02-06 10:39:45.588696
ATMN,24.08,24.13,24.35,,627.0,,,1384700.0,,,,,690.0,5000.0,1763500.0,1856.0,2000.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,2026-02-06 10:39:45.588696
WNTR,25.75,25.85,25.89,,770.0,914.0,10000.0,1405800.0,,834.0,,250.0,770.0,,1349700.0,834.0,2000.0,10000.0,6000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,2026-02-06 10:39:45.588696
SPNG,24.62,24.75,24.88,500.0,1885100.0,4000.0,6000.0,1765000.0,1945.0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,2026-02-06 10:39:46.688397
SMMR,24.58,24.59,24.66,6000.0,1840800.0,,1363.0,1416600.0,,5000.0,740.0,6000.0,7040.0,2000.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,2026-02-06 10:39:46.688397
ATMN,24.26,24.26,24.33,6000.0,1258400.0,,,2002900.0,,,,,5000.0,2000.0,1485.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,2026-02-06 10:39:46.688397
WNTR,25.85,25.89,25.92,,1511900.0,,250.0,1452600.0,1668.0,914.0,770.0,,,2000.0,1668.0,770.0,6000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,2026-02-06 10:39:46.688397
SPNG,24.54,24.54,24.88,2031500.0,4000.0,679.0,1883400.0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,2026-02-06 10:39:47.248957
SMMR,24.67,24.53,24.67,2178200.0,,630.0,1631200.0,6000.0,2040.0,2000.0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,2026-02-06 10:39:47.248957
ATMN,24.07,23.92,24.07,1276900.0,,710.0,1568900.0,,6428.0,2000.0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,2026-02-06 10:39:47.248957
WNTR,25.98,25.91,25.92,1214500.0,,651.0,1343600.0,,5000.0,2000.0,5914.0,10000.0,770.0,6000.0,1668.0,6000.0,1668.0,6000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,2026-02-06 10:39:47.248957
SPNG,24.54,24.66,24.68,6000.0,1539700.0,307.0,4000.0,679.0,250.0,6000.0,5000.0,1571100.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,2026-02-06 10:39:48.315557
SMMR,24.7,24.7,24.71,6000.0,2212700.0,,,,250.0,,,1936400.0,2000.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,2026-02-06 10:39:48.315557
ATMN,24.07,24.05,24.07,,1559600.0,,,710.0,6000.0,6000.0,6428.0,1334200.0,2000.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,2026-02-06 10:39:48.315557
